top - 13:27:37 up 13 days,  4:43,  3 users,  load average: 0.13, 0.08, 0.04
Tasks: 211 total,   3 running, 208 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.6%us,  0.7%sy,  0.0%ni, 98.7%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   7805796k total,  7752536k used,    53260k free,   172976k buffers
Swap: 23237980k total,     2332k used, 23235648k free,  6563380k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 2431 gdm       20   0  147m 6488 5076 S    0  0.1   0:00.09 gnome-session      
 2433 root       9 -11  209m 5284 3632 S    0  0.1   0:01.33 pulseaudio         
 2436 gdm       20   0 46408 6184 2304 S    0  0.1   0:13.51 gconfd-2           
 2439 gdm       20   0  227m  10m 7744 S    0  0.1   0:01.94 gnome-settings-    
 2444 gdm       20   0 34780 2068 1720 S    0  0.0   0:00.00 gvfsd              
 2446 gdm       20   0  165m 8368 6036 S    0  0.1   0:00.05 notification-da    
 2452 gdm       20   0  186m  15m  10m S    0  0.2   0:45.18 gdm-simple-gree    
 2453 gdm       20   0  183m 9768 7328 S    0  0.1   0:12.35 gnome-power-man    
 2455 root      20   0 57712 2608 2104 S    0  0.0   0:00.01 gdm-session-wor    
 2467 root      20   0 94308 3408 2664 S    0  0.0   0:00.02 gconf-helper       
 2469 root      20   0 46544 6348 2296 S    0  0.1   0:01.38 gconfd-2           
 2480 root      20   0  301m  11m 6640 S    0  0.2   1:38.59 gnome-settings-    
 2481 root      20   0  210m 8784 6160 S    0  0.1   0:00.14 seahorse-daemon    
 2485 root      20   0 43208 2348 1924 S    0  0.0   0:00.01 gvfsd              
 2489 root      20   0  160m 7160 5604 S    0  0.1   0:00.08 notify-osd         
 2491 root      20   0 75488 2812 2112 S    0  0.0   0:00.01 gvfs-fuse-daemo    
 2497 root      20   0  200m  12m 9.9m S    0  0.2   0:32.99 metacity           
 2568 root      20   0  332m  20m  14m S    0  0.3   4:11.93 gnome-panel        
 2569 root      20   0  514m  22m  16m S    0  0.3   0:08.04 nautilus           
 2571 root      20   0  212m 4032 2928 S    0  0.1   0:00.10 bonobo-activati    
 2575 root      20   0  330m  12m 9.9m S    0  0.2   0:00.16 evolution-alarm    
 2576 root      20   0  221m  12m 9320 S    0  0.2   0:00.48 nm-applet          
 2579 root      20   0  129m  11m 4840 S    0  0.1   0:13.35 trackerd           
 2582 root      20   0  157m 7372 5724 S    0  0.1   0:01.92 tracker-applet     
 2584 root      20   0  185m 9.8m 7508 S    0  0.1   0:05.26 gnome-power-man    
 2586 root      20   0  267m  11m 8972 S    0  0.2   0:00.14 gnome-volume-co    
 2587 root      20   0  216m  18m 9224 S    0  0.2   0:03.46 python             
 2590 root      20   0  148m 7664 5988 S    0  0.1   0:00.07 bluetooth-apple    
 2592 root      20   0  156m 7200 5576 S    0  0.1   0:01.24 gdu-notificatio    
 2600 root      20   0  166m 5824 4036 S    0  0.1   0:07.97 gnome-screensav    
 2607 root      20   0  231m  11m 8848 S    0  0.1   0:00.13 trashapplet        
 2609 root      20   0 49840 3104 2496 S    0  0.0   0:00.02 gvfsd-trash        
 2611 root      20   0 42436 3020 2368 S    0  0.0   0:47.42 devkit-disks-da    
 2612 root      20   0 42180  792  480 S    0  0.0   0:00.00 devkit-disks-da    
 2615 root      20   0 54132 3228 2508 S    0  0.0   0:01.53 gvfs-gdu-volume    
 2618 root      20   0 50504 2488 1956 S    0  0.0   0:00.02 gvfs-gphoto2-vo    
 2624 root      20   0  245m  13m  10m S    0  0.2   0:00.16 indicator-apple    
 2626 root      20   0  244m  12m 9564 S    0  0.2   0:00.08 indicator-apple    
 2629 root      39  19  137m  11m 4740 S    0  0.1   0:00.73 tracker-indexer    
 2640 root      20   0 34828 2064 1596 S    0  0.0   0:00.01 gvfsd-metadata     
 2643 root      20   0 53644 3824 2844 S    0  0.0   0:00.15 polkitd            
 2646 root      20   0 43212 2468 2048 S    0  0.0   0:00.00 gvfsd-burn         
 2648 root      20   0 95380 3732 2980 S    0  0.0   0:00.02 indicator-statu    
 2650 root      20   0 42168 2364 1936 S    0  0.0   0:00.01 indicator-users    
 2652 root      20   0 51088 3048 2476 S    0  0.0   0:00.02 indicator-sessi    
 2654 root      20   0 64728 3952 2956 S    0  0.1   0:00.14 indicator-messa    
 2660 root      20   0  216m  14m  10m S    0  0.2   0:56.55 gnome-terminal     
 2661 root      20   0 14396  780  628 S    0  0.0   0:00.00 gnome-pty-helpe    
 2662 root      20   0 19152 2168 1564 S    0  0.0   0:00.02 bash               
27868 root      20   0 83068 3520 2712 S    0  0.0   0:00.51 sshd               
27928 root      20   0 19160 2204 1588 S    0  0.0   0:00.16 bash               
28684 root      20   0  4004  352  256 S    0  0.0   0:00.00 ntpdate            
28687 root      20   0  5972  488  396 S    0  0.0   0:00.01 lockfile-touch     
28725 root       8 -12 24308 1568 1228 S    0  0.0   0:00.00 ntpdate            
28796 root      20   0 19152 2184 1572 S    0  0.0   0:00.07 bash               
31047 root      20   0 10016 1920  460 S    0  0.0   0:00.77 oprofiled          
31480 root      20   0 49072 1220  668 S    0  0.0   0:00.00 sshd               
31504 postfix   20   0 39072 2124 1672 S    0  0.0   0:00.00 pickup             
31506 postfix   20   0 39232 2168 1704 S    0  0.0   0:00.00 qmgr               


top - 13:30:29 up 13 days,  4:46,  3 users,  load average: 0.35, 0.21, 0.09
Tasks: 211 total,   1 running, 210 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.5%us,  0.2%sy,  0.0%ni, 99.3%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   7805796k total,  7517044k used,   288752k free,   172572k buffers
Swap: 23237980k total,     2332k used, 23235648k free,  6572368k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  672 root      20   0  378m 285m 4356 S    1  3.8   1:19.64 qemu-system-x86    
 2351 root      20   0  412m  37m  18m S    1  0.5   4:54.46 Xorg               
  794 root      20   0 19232 1396  972 R    0  0.0   0:01.01 top                
 2480 root      20   0  301m  11m 6640 S    0  0.2   1:38.60 gnome-settings-    
    1 root      20   0 19456 1772 1196 S    0  0.0   0:04.26 init               
    2 root      15  -5     0    0    0 S    0  0.0   0:00.00 kthreadd           
    3 root      RT  -5     0    0    0 S    0  0.0   0:00.18 migration/0        
    4 root      15  -5     0    0    0 S    0  0.0   0:00.42 ksoftirqd/0        
    5 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/0         
    6 root      RT  -5     0    0    0 S    0  0.0   0:00.05 migration/1        
    7 root      15  -5     0    0    0 S    0  0.0   0:03.22 ksoftirqd/1        
    8 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/1         
    9 root      RT  -5     0    0    0 S    0  0.0   0:00.04 migration/2        
   10 root      15  -5     0    0    0 S    0  0.0   0:01.13 ksoftirqd/2        
   11 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/2         
   12 root      RT  -5     0    0    0 S    0  0.0   0:00.03 migration/3        
   13 root      15  -5     0    0    0 S    0  0.0   0:02.63 ksoftirqd/3        
   14 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/3         
   15 root      15  -5     0    0    0 S    0  0.0   0:00.05 events/0           
   16 root      15  -5     0    0    0 S    0  0.0   0:00.85 events/1           
   17 root      15  -5     0    0    0 S    0  0.0   0:00.35 events/2           
   18 root      15  -5     0    0    0 S    0  0.0   0:01.62 events/3           
   19 root      15  -5     0    0    0 S    0  0.0   0:00.00 cpuset             
   20 root      15  -5     0    0    0 S    0  0.0   0:00.00 khelper            
   21 root      15  -5     0    0    0 S    0  0.0   0:00.00 netns              
   22 root      15  -5     0    0    0 S    0  0.0   0:00.00 async/mgr          
   23 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/0      
   24 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/1      
   25 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/2      
   26 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/3      
   27 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/0          
   28 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/1          
   29 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/2          
   30 root      15  -5     0    0    0 S    0  0.0   0:00.65 kblockd/3          
   31 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpid             
   32 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpi_notify       
   33 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpi_hotplug      
   34 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata/0              
   35 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata/1              
   36 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata/2              
   37 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata/3              
   38 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata_aux            
   39 root      15  -5     0    0    0 S    0  0.0   0:00.01 ksuspend_usbd      
   40 root      15  -5     0    0    0 S    0  0.0   0:00.04 khubd              
   41 root      15  -5     0    0    0 S    0  0.0   0:00.00 kseriod            
   42 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmmcd              
   43 root      15  -5     0    0    0 S    0  0.0   0:00.00 bluetooth          
   44 root      20   0     0    0    0 S    0  0.0   0:00.03 khungtaskd         
   45 root      20   0     0    0    0 S    0  0.0   0:00.00 pdflush            
   46 root      20   0     0    0    0 S    0  0.0   0:01.08 pdflush            
   47 root      15  -5     0    0    0 S    0  0.0   0:07.44 kswapd0            
   48 root      15  -5     0    0    0 S    0  0.0   0:00.00 aio/0              
   49 root      15  -5     0    0    0 S    0  0.0   0:00.00 aio/1              
   50 root      15  -5     0    0    0 S    0  0.0   0:00.00 aio/2              
   51 root      15  -5     0    0    0 S    0  0.0   0:00.00 aio/3              
   52 root      15  -5     0    0    0 S    0  0.0   0:00.00 ecryptfs-kthrea    
   53 root      15  -5     0    0    0 S    0  0.0   0:00.00 crypto/0           
   54 root      15  -5     0    0    0 S    0  0.0   0:00.00 crypto/1           
   55 root      15  -5     0    0    0 S    0  0.0   0:00.00 crypto/2           
   56 root      15  -5     0    0    0 S    0  0.0   0:00.00 crypto/3           
   63 root      15  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_0          
   64 root      15  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_1          
   65 root      15  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_2          
   66 root      15  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_3          
   71 root      15  -5     0    0    0 S    0  0.0   0:00.01 scsi_eh_4          
   72 root      15  -5     0    0    0 S    0  0.0   0:00.01 scsi_eh_5          
   82 root      15  -5     0    0    0 S    0  0.0   0:00.00 kstriped           
   83 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/0          
   84 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/1          
   85 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/2          
   86 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/3          
   87 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmpath_handlerd    
   88 root      15  -5     0    0    0 S    0  0.0   0:00.00 ksnapd             
   89 root      15  -5     0    0    0 S    0  0.0   0:01.61 kondemand/0        
   90 root      15  -5     0    0    0 S    0  0.0   0:02.81 kondemand/1        
   91 root      15  -5     0    0    0 S    0  0.0   0:01.53 kondemand/2        
   92 root      15  -5     0    0    0 S    0  0.0   0:01.80 kondemand/3        
   93 root      15  -5     0    0    0 S    0  0.0   0:00.00 kconservative/0    
   94 root      15  -5     0    0    0 S    0  0.0   0:00.00 kconservative/1    
   95 root      15  -5     0    0    0 S    0  0.0   0:00.00 kconservative/2    
   96 root      15  -5     0    0    0 S    0  0.0   0:00.00 kconservative/3    
   97 root      10 -10     0    0    0 S    0  0.0   0:00.00 krfcommd           
  332 root      15  -5     0    0    0 S    0  0.0   0:00.00 khpsbpkt           
  335 root      15  -5     0    0    0 S    0  0.0   0:00.00 usbhid_resumer     
  338 root      15  -5     0    0    0 S    0  0.0   0:00.00 knodemgrd_0        
  427 root      15  -5     0    0    0 S    0  0.0   0:14.31 kjournald          
  493 root      20   0 12768  756  560 S    0  0.0   0:00.06 upstart-udev-br    
  495 root      16  -4 17364  504  304 S    0  0.0   0:00.04 udevd              
  606 root      15  -5     0    0    0 S    0  0.0   0:00.00 edac-poller        
  620 root      15  -5     0    0    0 S    0  0.0   0:00.00 kpsmoused          
  671 root      20   0  4004  564  476 S    0  0.0   0:00.04 sh                 
  691 root      18  -2 17360  476  280 S    0  0.0   0:00.01 udevd              
  717 root      18  -2 17360  464  280 S    0  0.0   0:00.00 udevd              
  926 root      15  -5     0    0    0 S    0  0.0   0:00.00 hd-audio0          
  969 root      15  -5     0    0    0 S    0  0.0   0:00.23 hd-audio1          
  990 daemon    20   0  8164  444  432 S    0  0.0   0:00.00 portmap            
 1012 root      20   0  8192  516  492 S    0  0.0   0:00.03 dd                 
 1019 syslog    20   0  186m 1760 1060 S    0  0.0   0:16.41 rsyslogd           
 1035 messageb  20   0 24652 1752  652 S    0  0.0   0:02.88 dbus-daemon        
 1041 haldaemo  20   0 34052 4572 3664 S    0  0.1   0:00.62 hald               
 1042 avahi     20   0 31888 1656 1320 S    0  0.0   0:09.88 avahi-daemon       
 1043 avahi     20   0 31760  524  300 S    0  0.0   0:00.00 avahi-daemon       
 1044 root      20   0 82204 4720 3796 S    0  0.1   0:00.07 NetworkManager     
 1048 root      20   0 51476 2356 1816 S    0  0.0   0:00.09 modem-manager      
 1049 root      20   0  117m 3236 2208 S    0  0.0   0:00.12 console-kit-dae    
 1112 root      20   0 20056 1272 1044 S    0  0.0   0:00.02 hald-runner        
 1161 statd     20   0 10300  788  652 S    0  0.0   0:00.00 rpc.statd          
 1177 root      20   0 74936 3724 2964 S    0  0.0   0:00.06 gdm-binary         
 1240 root      20   0 28216 2024 1672 S    0  0.0   0:00.00 wpa_supplicant     
 1402 root      20   0  5988  596  504 S    0  0.0   0:00.00 getty              
 1405 root      20   0  5988  600  504 S    0  0.0   0:00.00 getty              
 1412 root      20   0  5988  604  504 S    0  0.0   0:00.00 getty              
 1413 root      20   0  5988  596  504 S    0  0.0   0:00.00 getty              
 1415 root      20   0  5988  600  504 S    0  0.0   0:00.00 getty              
 1418 root      20   0  4352 1128  540 S    0  0.0   0:00.00 acpid              
 1437 daemon    20   0 16512  460  312 S    0  0.0   0:00.01 atd                
 1438 root      20   0 18708  992  760 S    0  0.0   0:02.15 cron               
 1452 root      20   0 22180 1216 1024 S    0  0.0   0:00.00 hald-addon-inpu    
 1479 root      20   0 22188 1216 1028 S    0  0.0   0:00.00 hald-addon-cpuf    
 1480 haldaemo  20   0 26080 1216 1004 S    0  0.0   0:00.00 hald-addon-acpi    
 1545 root      15  -5     0    0    0 S    0  0.0   0:00.00 rpciod/0           
 1546 root      15  -5     0    0    0 S    0  0.0   0:00.00 rpciod/1           
 1547 root      15  -5     0    0    0 S    0  0.0   0:00.00 rpciod/2           
 1548 root      15  -5     0    0    0 S    0  0.0   0:00.00 rpciod/3           
 1564 root      15  -5     0    0    0 S    0  0.0   0:00.00 lockd              
 1565 root      15  -5     0    0    0 S    0  0.0   0:00.01 nfsd4              
 1566 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1567 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1568 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1569 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1570 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1571 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1572 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1573 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1577 root      20   0 14652  432  168 S    0  0.0   0:00.00 rpc.mountd         
 1739 root      20   0 47104 2772 2132 S    0  0.0   0:00.01 devkit-power-da    
 1740 root      20   0 37012 2220 1728 S    0  0.0   0:00.62 master             
 1810 root      20   0  201m 4628 3108 S    0  0.1   0:00.19 libvirtd           
 1855 root      20   0 75160 2828 2052 S    0  0.0   0:00.00 cupsd              
 1873 nobody    20   0 19048  756  560 S    0  0.0   0:00.00 dnsmasq            
 2061 root      20   0 40640 7140 1616 S    0  0.1   0:48.65 munin-node         
 2164 root      20   0  5988  604  504 S    0  0.0   0:00.00 getty              
 2214 gdm       20   0  211m 4800 3232 S    0  0.1   0:00.77 pulseaudio         
 2225 gdm       20   0 94308 3400 2644 S    0  0.0   0:00.00 gconf-helper       
 2327 root      20   0  158m 3816 2952 S    0  0.0   0:00.05 gnome-keyring-d    
 2338 root      20   0  162m 7476 5700 S    0  0.1   0:00.14 gnome-session      
 2339 root      20   0 76856 3764 2984 S    0  0.0   0:00.02 gdm-simple-slav    
 2401 root      20   0 36060  704  272 S    0  0.0   0:02.15 ssh-agent          
 2412 root      20   0 26156  732  436 S    0  0.0   0:00.00 dbus-launch        
 2419 root      20   0 23956 1544  648 S    0  0.0   0:05.00 dbus-daemon        
 2429 gdm       20   0 26156  764  472 S    0  0.0   0:00.00 dbus-launch        
 2430 gdm       20   0 23460  924  596 S    0  0.0   0:00.01 dbus-daemon        
 2431 gdm       20   0  147m 6488 5076 S    0  0.1   0:00.09 gnome-session      
 2433 root       9 -11  209m 5284 3632 S    0  0.1   0:01.33 pulseaudio         
 2436 gdm       20   0 46408 6184 2304 S    0  0.1   0:13.51 gconfd-2           
 2439 gdm       20   0  227m  10m 7744 S    0  0.1   0:01.94 gnome-settings-    
 2444 gdm       20   0 34780 2068 1720 S    0  0.0   0:00.00 gvfsd              
 2446 gdm       20   0  165m 8368 6036 S    0  0.1   0:00.05 notification-da    
 2452 gdm       20   0  186m  15m  10m S    0  0.2   0:45.18 gdm-simple-gree    
 2453 gdm       20   0  183m 9768 7328 S    0  0.1   0:12.35 gnome-power-man    
 2455 root      20   0 57712 2608 2104 S    0  0.0   0:00.01 gdm-session-wor    
 2464 root      20   0 85904  15m 8204 S    0  0.2   8:54.19 x11vnc             
 2467 root      20   0 94308 3408 2664 S    0  0.0   0:00.02 gconf-helper       
 2469 root      20   0 46544 6348 2296 S    0  0.1   0:01.38 gconfd-2           
 2481 root      20   0  210m 8784 6160 S    0  0.1   0:00.14 seahorse-daemon    
 2485 root      20   0 43208 2348 1924 S    0  0.0   0:00.01 gvfsd              
 2489 root      20   0  160m 7160 5604 S    0  0.1   0:00.08 notify-osd         
 2491 root      20   0 75488 2812 2112 S    0  0.0   0:00.01 gvfs-fuse-daemo    
 2497 root      20   0  200m  12m 9.9m S    0  0.2   0:32.99 metacity           
 2568 root      20   0  332m  20m  14m S    0  0.3   4:11.93 gnome-panel        
 2569 root      20   0  514m  22m  16m S    0  0.3   0:08.04 nautilus           
 2571 root      20   0  212m 4032 2928 S    0  0.1   0:00.10 bonobo-activati    
 2575 root      20   0  330m  12m 9.9m S    0  0.2   0:00.16 evolution-alarm    
 2576 root      20   0  221m  12m 9320 S    0  0.2   0:00.48 nm-applet          
 2579 root      20   0  129m  11m 4840 S    0  0.1   0:13.35 trackerd           
 2582 root      20   0  157m 7372 5724 S    0  0.1   0:01.92 tracker-applet     
 2584 root      20   0  185m 9.8m 7508 S    0  0.1   0:05.26 gnome-power-man    
 2586 root      20   0  267m  11m 8972 S    0  0.2   0:00.14 gnome-volume-co    
 2587 root      20   0  216m  18m 9224 S    0  0.2   0:03.46 python             
 2590 root      20   0  148m 7664 5988 S    0  0.1   0:00.07 bluetooth-apple    
 2592 root      20   0  156m 7200 5576 S    0  0.1   0:01.24 gdu-notificatio    
 2600 root      20   0  166m 5824 4036 S    0  0.1   0:07.97 gnome-screensav    
 2607 root      20   0  231m  11m 8848 S    0  0.1   0:00.13 trashapplet        
 2609 root      20   0 49840 3104 2496 S    0  0.0   0:00.02 gvfsd-trash        
 2611 root      20   0 42436 3020 2368 S    0  0.0   0:47.42 devkit-disks-da    
 2612 root      20   0 42180  792  480 S    0  0.0   0:00.00 devkit-disks-da    
 2615 root      20   0 54132 3228 2508 S    0  0.0   0:01.53 gvfs-gdu-volume    
 2618 root      20   0 50504 2488 1956 S    0  0.0   0:00.02 gvfs-gphoto2-vo    
 2624 root      20   0  245m  13m  10m S    0  0.2   0:00.16 indicator-apple    
 2626 root      20   0  244m  12m 9564 S    0  0.2   0:00.08 indicator-apple    
 2629 root      39  19  137m  11m 4740 S    0  0.1   0:00.73 tracker-indexer    
 2640 root      20   0 34828 2064 1596 S    0  0.0   0:00.01 gvfsd-metadata     
 2643 root      20   0 53644 3824 2844 S    0  0.0   0:00.15 polkitd            
 2646 root      20   0 43212 2468 2048 S    0  0.0   0:00.00 gvfsd-burn         
 2648 root      20   0 95380 3732 2980 S    0  0.0   0:00.02 indicator-statu    
 2650 root      20   0 42168 2364 1936 S    0  0.0   0:00.01 indicator-users    
 2652 root      20   0 51088 3048 2476 S    0  0.0   0:00.02 indicator-sessi    
 2654 root      20   0 64728 3952 2956 S    0  0.1   0:00.14 indicator-messa    
 2660 root      20   0  216m  14m  10m S    0  0.2   0:56.55 gnome-terminal     
 2661 root      20   0 14396  780  628 S    0  0.0   0:00.00 gnome-pty-helpe    
 2662 root      20   0 19152 2168 1564 S    0  0.0   0:00.02 bash               
27868 root      20   0 83068 3520 2712 S    0  0.0   0:00.51 sshd               
27928 root      20   0 19160 2204 1588 S    0  0.0   0:00.16 bash               
28684 root      20   0  4004  352  256 S    0  0.0   0:00.00 ntpdate            
28687 root      20   0  5972  488  396 S    0  0.0   0:00.01 lockfile-touch     
28725 root       8 -12 24308 1568 1228 S    0  0.0   0:00.00 ntpdate            
28796 root      20   0 19152 2184 1572 S    0  0.0   0:00.07 bash               
31047 root      20   0 10020 1924  460 S    0  0.0   0:00.77 oprofiled          
31480 root      20   0 49072 1220  668 S    0  0.0   0:00.00 sshd               
31504 postfix   20   0 39072 2124 1672 S    0  0.0   0:00.00 pickup             
31506 postfix   20   0 39232 2168 1704 S    0  0.0   0:00.00 qmgr               


top - 13:30:32 up 13 days,  4:46,  3 users,  load average: 0.35, 0.21, 0.09
Tasks: 211 total,   1 running, 210 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.4%us,  0.3%sy,  0.0%ni, 99.3%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   7805796k total,  7517044k used,   288752k free,   172572k buffers
Swap: 23237980k total,     2332k used, 23235648k free,  6572384k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  672 root      20   0  378m 285m 4356 S    2  3.8   1:19.70 qemu-system-x86    
  794 root      20   0 19232 1396  972 R    0  0.0   0:01.02 top                
 2351 root      20   0  412m  37m  18m S    0  0.5   4:54.47 Xorg               
 2464 root      20   0 85904  15m 8204 S    0  0.2   8:54.20 x11vnc             
    1 root      20   0 19456 1772 1196 S    0  0.0   0:04.26 init               
    2 root      15  -5     0    0    0 S    0  0.0   0:00.00 kthreadd           
    3 root      RT  -5     0    0    0 S    0  0.0   0:00.18 migration/0        
    4 root      15  -5     0    0    0 S    0  0.0   0:00.42 ksoftirqd/0        
    5 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/0         
    6 root      RT  -5     0    0    0 S    0  0.0   0:00.05 migration/1        
    7 root      15  -5     0    0    0 S    0  0.0   0:03.22 ksoftirqd/1        
    8 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/1         
    9 root      RT  -5     0    0    0 S    0  0.0   0:00.04 migration/2        
   10 root      15  -5     0    0    0 S    0  0.0   0:01.13 ksoftirqd/2        
   11 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/2         
   12 root      RT  -5     0    0    0 S    0  0.0   0:00.03 migration/3        
   13 root      15  -5     0    0    0 S    0  0.0   0:02.63 ksoftirqd/3        
   14 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/3         
   15 root      15  -5     0    0    0 S    0  0.0   0:00.05 events/0           
   16 root      15  -5     0    0    0 S    0  0.0   0:00.85 events/1           
   17 root      15  -5     0    0    0 S    0  0.0   0:00.35 events/2           
   18 root      15  -5     0    0    0 S    0  0.0   0:01.62 events/3           
   19 root      15  -5     0    0    0 S    0  0.0   0:00.00 cpuset             
   20 root      15  -5     0    0    0 S    0  0.0   0:00.00 khelper            
   21 root      15  -5     0    0    0 S    0  0.0   0:00.00 netns              
   22 root      15  -5     0    0    0 S    0  0.0   0:00.00 async/mgr          
   23 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/0      
   24 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/1      
   25 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/2      
   26 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/3      
   27 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/0          
   28 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/1          
   29 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/2          
   30 root      15  -5     0    0    0 S    0  0.0   0:00.65 kblockd/3          
   31 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpid             
   32 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpi_notify       
   33 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpi_hotplug      
   34 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata/0              
   35 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata/1              
   36 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata/2              
   37 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata/3              
   38 root      15  -5     0    0    0 S    0  0.0   0:00.00 ata_aux            
   39 root      15  -5     0    0    0 S    0  0.0   0:00.01 ksuspend_usbd      
   40 root      15  -5     0    0    0 S    0  0.0   0:00.04 khubd              
   41 root      15  -5     0    0    0 S    0  0.0   0:00.00 kseriod            
   42 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmmcd              
   43 root      15  -5     0    0    0 S    0  0.0   0:00.00 bluetooth          
   44 root      20   0     0    0    0 S    0  0.0   0:00.03 khungtaskd         
   45 root      20   0     0    0    0 S    0  0.0   0:00.00 pdflush            
   46 root      20   0     0    0    0 S    0  0.0   0:01.08 pdflush            
   47 root      15  -5     0    0    0 S    0  0.0   0:07.44 kswapd0            
   48 root      15  -5     0    0    0 S    0  0.0   0:00.00 aio/0              
   49 root      15  -5     0    0    0 S    0  0.0   0:00.00 aio/1              
   50 root      15  -5     0    0    0 S    0  0.0   0:00.00 aio/2              
   51 root      15  -5     0    0    0 S    0  0.0   0:00.00 aio/3              
   52 root      15  -5     0    0    0 S    0  0.0   0:00.00 ecryptfs-kthrea    
   53 root      15  -5     0    0    0 S    0  0.0   0:00.00 crypto/0           
   54 root      15  -5     0    0    0 S    0  0.0   0:00.00 crypto/1           
   55 root      15  -5     0    0    0 S    0  0.0   0:00.00 crypto/2           
   56 root      15  -5     0    0    0 S    0  0.0   0:00.00 crypto/3           
   63 root      15  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_0          
   64 root      15  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_1          
   65 root      15  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_2          
   66 root      15  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_3          
   71 root      15  -5     0    0    0 S    0  0.0   0:00.01 scsi_eh_4          
   72 root      15  -5     0    0    0 S    0  0.0   0:00.01 scsi_eh_5          
   82 root      15  -5     0    0    0 S    0  0.0   0:00.00 kstriped           
